description,players,cost_est,issue_date,issue_year,issue_month,issue_day,address,lat,lng,boundaries,permit_number,_permit_year
PHASE 1 : BASE SUPPORT AND INITIAL SET-UP FOR MANI TOWER MD485 (SOUTH CRANE) TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherLend Lease (Us) Construction,Adjustable Forms IncArsran, Llc",$1.00,12/20/2011,2011,12,20,515 N Clark St,41.8913710,-87.6309720,"42 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100419010,2011
ERECT FREE STANDING TOWER CRANE MANITOWOC MD485B PER PLAN,Jon ZitzmanConnolly Eamonn F.James Mchugh Construction Co,"$200,000.00",12/1/2011,2011,12,1,5235 S Harper Ave,41.7999250,-87.5889540,"4 (ward)HYDE PARK (communityarea)Hyde Park (neighborhood)60615 (zip)53rd Street (tif)Hyde Park Kenwood Historic District (nationalregister)Hyde Park (township)61 (ssa)District 02, Beat 0234 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Barbara Flynn Currie (25th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Kenwood Hs (HS) (cpsattendance)",100418395,2011
PHASE 1: FOUNDATION AND INITIAL SET-UP FOR TEMPORARY TOWER CRANE - PEINER SK415 AS PER PLANS.,"Kohout ChristopherOptima, Inc.Concrete Structures Of TheOptima Center Chicago, Llc","$1,000.00",11/7/2011,2011,11,7,200 E Illinois St,41.8910690,-87.6226190,"42 (ward)NEAR NORTH SIDE (communityarea)Streeterville (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100407495,2011
PHASE 1: BASE SUPPORT AND SET-UP FOR LIEBHER 420 FC-H TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherWalsh Construction Company Ii,River North Devco, Llc",$1.00,10/24/2011,2011,10,24,71 W Hubbard St,41.8899140,-87.6308280,"42 (ward)NEAR NORTH SIDE (communityarea)Near North (neighborhood)60654 (zip)North (township)District 18, Beat 1831 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100404108,2011
PHASE 1 - BASE SUPPORT AND INITIAL SET-UP FOR MANITOWOC MD485 TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherLend Lease (Us) Construction,Adjustable Forms IncRelated Bit 500 Lake Shore Owner Llc","$200,000.00",10/3/2011,2011,10,3,516 N Lake Shore Dr,41.8917000,-87.6144440,"42 (ward)NEAR NORTH SIDE (communityarea)Streeterville (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100411379,2011
erect a free standing tower crane for a 36 story building per plan,"Connolly Eamonn F.James Mchugh Construction CoFrc Kinzie Jefferson, Llc","$10,000.00",9/14/2011,2011,9,14,365 N Halsted St,41.8886810,-87.6474220,"42 (ward)WEST TOWN (communityarea)Fulton River District (neighborhood)60661 (zip)River West (tif)West (township)District 12, Beat 1214 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100406267,2011
PHASE 2: CLIMB SCHEDULE AND TIE-INS FOR PEINER SK415 TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherSmithfield Constr Group, Inc.Concrete Structures Of TheFurniture Llc","$100,000.00",8/19/2011,2011,8,19,840 W Blackhawk St,41.9086560,-87.6498430,"2 (ward)NEAR NORTH SIDE (communityarea)Goose Island (neighborhood)60642 (zip)Enterprise Zone 4 (enterprisezone)North (township)District 18, Beat 1822 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Pamela Reaves-Harris (10th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100402040,2011
PHASE 2 - TOWER CRANE TIE-IN AND CLIMB SCHEDULE FOR COMANSA 21LC210 TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherBulley & Andrews, L.l.c.Adjustable Forms IncRonald Mcdonald House Charitie","$100,000.00",7/8/2011,2011,7,8,211 E Grand Ave,41.8916580,-87.6222040,"42 (ward)NEAR NORTH SIDE (communityarea)Streeterville (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100398186,2011
PHASE II - CLIMB SCHEDULE AND TIE-INS FOR MANITOWOC MD485B TEMPORARY TOWER CRANE AS EPR PLANS AS PER PLANS.,"Kohout ChristopherAdjustable Forms, Inc.Adjustable Forms IncThe Admiral At The Lake","$140,000.00",6/16/2011,2011,6,16,929 W Foster Ave,41.9763060,-87.6536850,"48 (ward)UPTOWN (communityarea)Margate Park (neighborhood)60640 (zip)Lake View (township)District 20, Beat 2024 (chipolicebeat)District 20 - Lincoln (chipolicedistrict)10 (cookcountydistrict)Greg Harris (13th) (illinoishouse)Heather A. Steans (7th) (illinoissenate)Senn Hs (HS) (cpsattendance)",100389421,2011
REIVISION TO PERMIT #100378290 TO CHANGE CRANE TYPE FROM LIEBHER 316 EC-H TEMPORARY TOWER CRANE TO PEINER SK315 TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherPower Construction Company, LlSwedish Covenant Hospital",$1.00,4/29/2011,2011,4,29,5215 N California Ave,41.9763460,-87.6987940,"40 (ward)LINCOLN SQUARE (communityarea)Budlong Woods (neighborhood)60625 (zip)Jefferson (township)District 20, Beat 2011 (chipolicebeat)District 20 - Lincoln (chipolicedistrict)12 (cookcountydistrict)Greg Harris (13th) (illinoishouse)Heather A. Steans (7th) (illinoissenate)Amundsen Hs (HS) (cpsattendance)",100390750,2011
BASE SUPPORT AND SET-UP FOR LIEBHER 316 EC-H TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherPower Construction Company, LlDegraf Concrete Const., Inc.Swedish Covenant Hospital","$100,000.00",3/18/2011,2011,3,18,5215 N California Ave,41.9763460,-87.6987940,"40 (ward)LINCOLN SQUARE (communityarea)Budlong Woods (neighborhood)60625 (zip)Jefferson (township)District 20, Beat 2011 (chipolicebeat)District 20 - Lincoln (chipolicedistrict)12 (cookcountydistrict)Greg Harris (13th) (illinoishouse)Heather A. Steans (7th) (illinoissenate)Amundsen Hs (HS) (cpsattendance)",100378290,2011
PHASE 1: BASE SUPPORT AND INITAL SET-UP FOR PEINER SK 415 TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherSmithfield Constr Group, Inc.Concrete Structures Of TheLe Furniture, Llc","$100,000.00",3/14/2011,2011,3,14,840 W Blackhawk St,41.9086560,-87.6498430,"2 (ward)NEAR NORTH SIDE (communityarea)Goose Island (neighborhood)60642 (zip)Enterprise Zone 4 (enterprisezone)North (township)District 18, Beat 1822 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Pamela Reaves-Harris (10th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100380668,2011
** REVISION TO PERMIT #100372951 - BASE SUPPORT AND SET-UP FOR MANITOWOC MR415 TEMPORARY TOWER CRANE AS PER PLANS FOR THE NWMH CHILD CARE CENTER.,"Kohout ChristopherW. E. O'neil Construction Co.O'neil Industries, Inc.Northwest Memorial Hospital","$100,000.00",2/14/2011,2011,2,14,441 E Ontario St,41.8933500,-87.6161590,"42 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100380658,2011
PHASE I - BASE SUPOPORT AND INITIAL SET-UP FOR MANITOWER MD485B TEMPORARY TOWER CRANE AS PER PLANS.,"Kohout ChristopherAdjustable Forms, Inc.Adjustable Forms IncThe Admiral At The Lake","$200,000.00",12/23/2010,2010,12,23,929 W Foster Ave,41.9763060,-87.6536850,"48 (ward)UPTOWN (communityarea)Margate Park (neighborhood)60640 (zip)Lake View (township)District 20, Beat 2024 (chipolicebeat)District 20 - Lincoln (chipolicedistrict)10 (cookcountydistrict)Greg Harris (13th) (illinoishouse)Heather A. Steans (7th) (illinoissenate)Senn Hs (HS) (cpsattendance)",100376023,2010
INSTALLATION OF TEMPORARY TOWER CRANE MODEL # 316 EC-H 12 ON CAISSONS AS PER DRAWINGS.,"Elizabeth MelasRazdolsky LevConstruction Service AssociateWalsh Construction Company Ii,","$35,000.00",12/22/2010,2010,12,22,2750 S California Ave,41.8414800,-87.6952670,"24 (ward)SOUTH LAWNDALE (communityarea)Little Village (neighborhood)60608 (zip)Enterprise Zone 1 (enterprisezone)West (township)District 10, Beat 1033 (chipolicebeat)District 10 - Ogden (chipolicedistrict)7 (cookcountydistrict)Silvana Tabares (21st) (illinoishouse)Martin A. Sandoval (11th) (illinoissenate)Spry (ES) (cpsattendance)",100369115,2010
TOWER CRANE PHASE II TO TIE-IN EXISTING CRANE MODEL: LIEBHERR 420 ECH16 TO BUILDING FLOORS AS PER PLANS. CRANE #1,"Gerald KarrRazdolsky LevConstruction Service AssociateWalsh Construction CompanyLake Tower Development, Llc","$35,000.00",11/22/2010,2010,11,22,2550 N Lakeview Ave,41.9294640,-87.6394030,"43 (ward)LINCOLN PARK (communityarea)Park West (neighborhood)60614 (zip)Lake View (township)District 19, Beat 1935 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Park West Community Association (neighborhoodorganization)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100370258,2010
TOWER CRANE PHASE II PERMIT TO TIE-IN EXISTING TOWER CRANE MODEL LIEBHERR 420 EC-H16 TO BUILDING FLOORS AS PER PLAN. CRANE # 2,"Razdolsky LevConstruction Service AssociateWalsh Construction Company Ii,Lake Tower Development, LlcGerald Karr","$35,000.00",11/22/2010,2010,11,22,2550 N Lakeview Ave,41.9294640,-87.6394030,"43 (ward)LINCOLN PARK (communityarea)Park West (neighborhood)60614 (zip)Lake View (township)District 19, Beat 1935 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Park West Community Association (neighborhoodorganization)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100371017,2010
PHASE II - CLIMB SCHEDULE AND TIE-INS FOR MANITOWOC MR60513 TEMPORARY TOWER CRANE AS PER PLANS.,Kohout ChristopherPower Contracting & EngineerinEd Walsh,"$200,000.00",9/21/2010,2010,9,21,425 S Wabash Ave,41.8763550,-87.6258950,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60605 (zip)South (township)District 01, Beat 0113 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100347474,2010
** REVISION TO TOWER CRANE PERMIT #100324416,"Eric LevinAshton, JohnConstruction Service AssociateWalsh Construction Company Ii,",$1.00,8/17/2010,2010,8,17,2550 N Lakeview Ave,41.9294640,-87.6394030,"43 (ward)LINCOLN PARK (communityarea)Park West (neighborhood)60614 (zip)Lake View (township)District 19, Beat 1935 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Park West Community Association (neighborhoodorganization)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100356652,2010
PHASE I - BASE SUPPORT AND INITIAL SET-UP FOR MANITOWOC MR60513 TEMPORARY TOWER CRANE AS PER PLANS.,"Ack Engineering Services, LtdKohout ChristopherPower Contracting & EngineerinEd Walsh","$200,000.00",7/21/2010,2010,7,21,425 S Wabash Ave,41.8763550,-87.6258950,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60605 (zip)South (township)District 01, Beat 0113 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100346688,2010
ERECT TEMPORARY CONSTRUCTION TOWER CRANE LIEBHERR 316 EC-H 12 LITRONIC,Kris SchwengelConnolly Eamonn F.James Mchugh Construction Co,"$6,000.00",5/11/2010,2010,5,11,333 E Benton Pl,41.8853900,-87.6189860,"42 (ward)LOOP (communityarea)Near East Side (neighborhood)60601 (zip)South (township)District 01, Beat 0114 (chipolicebeat)District 1 - Central (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100336915,2010
INSTALLATION OF 35 TON STIFF LEG DERRICK CRANE FOR THE REMOVAL OF A TOWER CRANE.,"Ruby DavidBurnham Nationwide, Inc.Power Construction Company, LlBruce Komiske","$50,000.00",4/13/2010,2010,4,13,225 E Chicago Ave,41.8966590,-87.6217550,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100332093,2010
"PHASE 2 - CLIMB SCHEDULE AND TIE-INS FOR MR415 TEMPORARY \MANITOWOC"" TOWER CRANE.""","Kohout ChristopherPower Contracting & EngineerinNm Project Company,llc.","$200,000.00",3/16/2010,2010,3,16,118 E Erie St,41.8942420,-87.6244080,"42 (ward)NEAR NORTH SIDE (communityarea)Magnificent Mile (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100327250,2010
TOWER CRANE I - PHASE I FOUNDATION - INSTALLATION OF FREE STANDING TOWER CRANE MODEL: Liebherr 420 EC-H16 as per plans,"O'leary JohnConstruction Service AssociateWalsh Construction CompanyLake Tower Development LlcLake Tower Development, Llc","$120,000.00",12/21/2009,2009,12,21,2550 N Lakeview Ave,41.9294640,-87.6394030,"43 (ward)LINCOLN PARK (communityarea)Park West (neighborhood)60614 (zip)Lake View (township)District 19, Beat 1935 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Park West Community Association (neighborhoodorganization)Sara Feigenholtz (12th) (illinoishouse)John J. Cullerton (6th) (illinoissenate)Lincoln Park Hs (HS) (cpsattendance)",100324415,2009
PHASE 2 INSTALLATION OF TEMPORARY TOWER CRANE MODEL # MR6058 EAST CRANE,Gary MundingerKohout ChristopherConstruction Service AssociateW. E. O'neil Construction Co.,"$150,000.00",12/18/2009,2009,12,18,5700 S Maryland Ave,41.7912600,-87.6050840,"5 (ward)HYDE PARK (communityarea)Hyde Park (neighborhood)60637 (zip)Hyde Park Kenwood Historic District (nationalregister)Hyde Park (township)District 02, Beat 0235 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Kenwood Hs (HS) (cpsattendance)",100314713,2009
PHASE 2 INSTALLATION OF TEMPORARY TOWER CRANE MODEL #MR605B WEST CRANE,Gary MundingerKohout ChristopherConstruction Service AssociateW. E. O'neil Construction Co.,"$150,000.00",12/18/2009,2009,12,18,5700 S Maryland Ave,41.7912600,-87.6050840,"5 (ward)HYDE PARK (communityarea)Hyde Park (neighborhood)60637 (zip)Hyde Park Kenwood Historic District (nationalregister)Hyde Park (township)District 02, Beat 0235 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Kenwood Hs (HS) (cpsattendance)",100314718,2009
"PHASE I - FOUNDATION AND INITIAL SET-UP FOR MR415 TEMPORARY \MANITOWOE"" TOWER CRANE.""","Kohout ChristopherPower Contracting & EngineerinNm Project Company,llc.","$200,000.00",12/7/2009,2009,12,7,118 E Erie St,41.8942420,-87.6244080,"42 (ward)NEAR NORTH SIDE (communityarea)Magnificent Mile (neighborhood)60611 (zip)North (township)District 18, Beat 1834 (chipolicebeat)District 18 - Near North (chipolicedistrict)12 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Kenneth Dunkin (5th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100314809,2009
PHASE I PERMIT FOR FOUNDATION SUPPORT CRANE MODEL #MR605B PER PLANS FOR EAST CRANE.,"Post, Carol A.Construction Service AssociateW. E. O'neil Construction Co.Gary Mundinger","$350,000.00",9/22/2009,2009,9,22,5700 S Maryland Ave,41.7912600,-87.6050840,"5 (ward)HYDE PARK (communityarea)Hyde Park (neighborhood)60637 (zip)Hyde Park Kenwood Historic District (nationalregister)Hyde Park (township)District 02, Beat 0235 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Kenwood Hs (HS) (cpsattendance)",100301793,2009
PHASE 1 PERMIT FOR FOUNDATION TO SUPPORT CRANE MODEL # MR605B PER PLANS FOR WEST CRANE.,"Post, Carol A.Construction Service AssociateW. E. O'neil Construction Co.University Of Chicago Medical Center","$350,000.00",9/22/2009,2009,9,22,5700 S Maryland Ave,41.7912600,-87.6050840,"5 (ward)HYDE PARK (communityarea)Hyde Park (neighborhood)60637 (zip)Hyde Park Kenwood Historic District (nationalregister)Hyde Park (township)District 02, Beat 0235 (chipolicebeat)District 2 - Wentworth (chipolicedistrict)3 (cookcountydistrict)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Kenwood Hs (HS) (cpsattendance)",100310513,2009
INSTALLATION OF TEMPORARY CONSTRUCTION STIFFLEG DERRICK CRANE - TIMBERLAND SD17-65 ON LEVEL 51,Jrc 215 LlcConnolly Eamonn F.James Mchugh Construction Co,"$5,000.00",8/26/2009,2009,8,26,215 W Washington St,41.8831000,-87.6343220,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)LaSalle Central (tif)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100300082,2009
INSTALLATION OF 35 TON DERRICK CRANE ONN THE 11TH FLOOR.,"Kohout ChristopherM. A. Mortenson CompanyPower Construction Company, LlChildren's Memorial Hospi","$400,000.00",6/26/2009,2009,6,26,225 E Chicago Ave,41.8966590,-87.6217550,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100293003,2009
PHASE II - WEST CRANE TIE-IN. MANITOWOC MR605B.,O'leary JohnRush University Medical CenterJacqueline Burgess,$500.00,6/2/2009,2009,6,2,1620 W Harrison St,41.8742960,-87.6676120,"27 (ward)NEAR WEST SIDE (communityarea)Illinois Medical District (neighborhood)60607 (zip)Central West (tif)West (township)District 12, Beat 1231 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Connecting 4 Communities (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100284684,2009
PHASE II - EAST CRANE TIE-IN. MANITOWOC MR605B.,O'leary JohnRush University Medical CenterJacqueline Burgess,$500.00,6/2/2009,2009,6,2,1620 W Harrison St,41.8742960,-87.6676120,"27 (ward)NEAR WEST SIDE (communityarea)Illinois Medical District (neighborhood)60607 (zip)Central West (tif)West (township)District 12, Beat 1231 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Connecting 4 Communities (neighborhoodorganization)Arthur Turner (9th) (illinoishouse)Patricia Van Pelt (5th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100284690,2009
"** REVISION TO PERMIT # 100277975 - TEMP. CONSTRUCTION TOWER CRANE, NORTH CRANE, POTAIN MD CHANGE IN TIE-INS 1B AND 1C","Mast Paul EPower Construction Company, LlChildrens Memorial Hospital","$2,000.00",5/7/2009,2009,5,7,225 E Chicago Ave,41.8966590,-87.6217550,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100289242,2009
"TEMPORARY CONSTRUCTION TOWER CRANE, LIEBHERR 540 HC/L PHASE II, RAISING CRANE TO ITS FINAL HEIGHT OF 482 FT.","Mast Paul EBovis Lend Lease, Inc.210-218 W Lake, Llc","$5,000.00",4/24/2009,2009,4,24,210 N Wells St,41.8860280,-87.6340840,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100275210,2009
"** REVISION TO PERMIT # 100277974 FOR TEMPORARY CONSTRUCTION TOWER CRANE, SOUTH CRANE, POTAIN MD605B. REVISION TO COUPLING BEAM AT LEVEL 7, EAST LINE \E""""","Mast Paul EPower Construction Company, LlChildrens Memorial Hospital","$3,000.00",4/16/2009,2009,4,16,225 E Chicago Ave,41.8966590,-87.6217550,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100286749,2009
"TEMP. CONSTR. TOWER CRANE, LIEBHERR 316 EC-H. REVISE SHORING TYPE & LAYOUT, INCREASE SLAB OPENING. 14TH TO 50TH FLOOR.","Mast Paul EPower Construction Company, LlJrc 215 Llc","$3,000.00",4/9/2009,2009,4,9,215 W Washington St,41.8831000,-87.6343220,"42 (ward)LOOP (communityarea)The Loop (neighborhood)60606 (zip)LaSalle Central (tif)South (township)District 01, Beat 0122 (chipolicebeat)District 1 - Central (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Phillips Hs (HS) (cpsattendance)",100282872,2009
INSTALLATION OF TEMPORARY TOWER CRANE AND FOUNDATION PAD MODEL # LIEBHERR 316 EC-H16,Luis MartinezRazdolsky LevConstruction Service AssociateWalsh Construction Company,"$60,000.00",3/16/2009,2009,3,16,4455 N Racine Ave,41.9633980,-87.6594610,"46 (ward)UPTOWN (communityarea)Uptown (neighborhood)60640 (zip)Wilson Yard (tif)Lake View (township)District 19, Beat 1913 (chipolicebeat)District 19 - Town Hall (chipolicedistrict)10 (cookcountydistrict)Greg Harris (13th) (illinoishouse)Heather A. Steans (7th) (illinoissenate)Senn Hs (HS) (cpsattendance)",100278418,2009
"TEMPORARY CONSTRUCTION TOWER CRANE, POTAIN MD 485 PHASE II, RAISING CRANE TO ITS FINAL HOOK HEIGHT OF 445 FT.",Mast Paul EJames Mchugh Construction CoParcel A Owner Llc,"$5,000.00",3/9/2009,2009,3,9,555 W Kinzie St,41.8889430,-87.6417360,"42 (ward)NEAR WEST SIDE (communityarea)Fulton River District (neighborhood)60654 (zip)River West (tif)West (township)District 12, Beat 1214 (chipolicebeat)District 12 - Near West (chipolicedistrict)2 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Neighbors of West Loop (neighborhoodorganization)Sonya M. Harper (6th) (illinoishouse)Mattie Hunter (3rd) (illinoissenate)Wells Hs (HS) (cpsattendance)",100275209,2009
"TEMP. CONSTRUCTION TOWER CRANE - POTAIN MR605B, NORTH CRANE. FOUNDATION ANCHOR MODIFICATION.","Mast Paul EPower Construction Company, LlChildrens Memorial Hosp","$3,000.00",3/9/2009,2009,3,9,225 E Chicago Ave,41.8966590,-87.6217550,"2 (ward)NEAR NORTH SIDE (communityarea)Gold Coast (neighborhood)60611 (zip)North (township)District 18, Beat 1833 (chipolicebeat)District 18 - Near North (chipolicedistrict)3 (cookcountydistrict)Lake Michigan Area boundary (mcpier)Streeterville Organization of Active Residents (SOAR) (neighborhoodorganization)Christian L. Mitchell (26th) (illinoishouse)Kwame Raoul (13th) (illinoissenate)Wells Hs (HS) (cpsattendance)",100280593,2009
